Date,Continent,Customer_Name,Turnover,Profit,Profit_Margin,Total_Order,Return_Rate,Product_Name,Product_Subcategory_Name,Returned_Product,Category_Name,CM_Turnover,CM_Order,CM_Return_Rate
2023-08-25,Africa,Customer 209,912.33,106.1,11.63,2,0.1,Lights 5,Lights,,Accessories,766.05,0,0.08
2023-08-13,Asia,Customer 504,3809.39,292.56,7.68,6,2.97,Chains 7,Chains,,Components,4286.43,4,2.76
2023-11-09,Asia,Customer 510,1376.96,308.03,22.37,5,0.81,Road Bikes 7,Road Bikes,,Bikes,1597.49,7,0.91
2023-03-13,Africa,Customer 176,4219.22,418.97,9.93,7,6.76,Helmets 8,Helmets,Helmets 8,Clothing,5038.65,5,5.49
2023-01-18,Australia,Customer 682,4515.04,286.71,6.35,10,4.99,Gloves 6,Gloves,,Clothing,4011.86,10,4.48
2023-09-20,North America,Customer 793,3017.26,857.2,28.41,10,1.56,Locks 2,Locks,,Accessories,3112.22,8,1.68
2023-01-09,Asia,Customer 765,2950.89,483.65,16.39,6,3.77,Helmets 3,Helmets,,Clothing,2894.09,5,3.67
2023-01-09,Asia,Customer 563,4920.89,1060.94,21.56,4,2.02,Road Bikes 3,Road Bikes,,Bikes,5189.24,3,1.96
2023-10-08,Europe,Customer 514,1016.75,248.49,24.44,1,7.83,Saddles 8,Saddles,,Components,986.32,3,9.23
2023-01-09,Asia,Customer 997,1884.14,343.86,18.25,4,5.74,Brakes 3,Brakes,,Components,1628.16,6,5.21
2023-10-05,Africa,Customer 99,4880.83,898.56,18.41,10,1.25,Pedals 10,Pedals,,Components,5553.47,12,1.12
2023-07-27,Europe,Customer 512,1455.96,244.75,16.81,6,8.6,Lights 2,Lights,,Accessories,1210.93,6,8.7
2023-09-23,South America,Customer 806,424.09,40.25,9.49,4,7.84,Jerseys 7,Jerseys,,Clothing,449.11,5,6.89
2023-08-10,Australia,Customer 304,1932.94,402.24,20.81,4,0.14,Water Bottles 3,Water Bottles,,Accessories,1827.82,4,0.13
2023-09-24,Europe,Customer 454,3357.25,259.52,7.73,7,1.56,Saddles 6,Saddles,,Components,3629.36,7,1.76
2023-06-16,South America,Customer 708,4615.94,1191.37,25.81,9,9.35,Locks 8,Locks,,Accessories,4834.01,7,9.63
2023-10-19,Europe,Customer 552,280.35,54.92,19.59,2,8.15,Road Bikes 10,Road Bikes,,Bikes,273.08,0,9.64
2023-06-21,North America,Customer 246,3341.07,460.73,13.79,4,1.02,Lights 4,Lights,,Accessories,2921.25,2,1.01
2023-06-03,South America,Customer 28,3784.87,258.89,6.84,7,7.62,Mountain Bikes 8,Mountain Bikes,,Bikes,3088.52,5,8.6
2023-09-06,North America,Customer 302,264.85,73.87,27.89,3,8.73,Lights 4,Lights,,Accessories,294.54,2,10.28
2023-09-26,North America,Customer 226,3896.83,552.57,14.18,1,8.24,Jerseys 3,Jerseys,,Clothing,3398.08,-1,8.72
2023-05-02,Europe,Customer 150,3852.06,984.2,25.55,6,2.18,Saddles 8,Saddles,,Components,3873.41,4,2.36
2023-05-17,Australia,Customer 330,3077.79,904.87,29.4,10,3.77,Pedals 1,Pedals,,Components,3044.08,8,4.4
2023-07-17,Australia,Customer 135,2043.62,367.24,17.97,10,6.44,Mountain Bikes 1,Mountain Bikes,,Bikes,1777.33,12,6.13
2023-09-04,Australia,Customer 50,1524.16,80.78,5.3,1,0.1,Shorts 9,Shorts,,Clothing,1231.29,2,0.11
2023-09-09,South America,Customer 207,880.94,236.8,26.88,9,5.99,Gloves 10,Gloves,,Clothing,1004.36,10,5.37
2023-11-01,North America,Customer 297,3948.24,812.94,20.59,5,2.38,Saddles 4,Saddles,,Components,3182.98,7,2.73
2023-12-07,Europe,Customer 723,1657.7,390.22,23.54,3,4.47,Road Bikes 2,Road Bikes,,Bikes,1858.85,5,5.14
2023-06-06,Asia,Customer 586,240.49,37.56,15.62,6,0.76,Lights 3,Lights,,Accessories,226.11,8,0.81
2023-11-27,South America,Customer 31,856.39,150.81,17.61,4,7.64,Brakes 8,Brakes,,Components,736.95,2,7.35
2023-03-02,Asia,Customer 93,3917.03,1061.12,27.09,1,2.93,Water Bottles 7,Water Bottles,,Accessories,4418.49,0,2.44
2023-09-14,Australia,Customer 888,4405.11,1310.08,29.74,6,7.14,Saddles 9,Saddles,,Components,4892.87,5,5.75
2023-09-24,Africa,Customer 365,3213.81,414.58,12.9,10,9.8,Saddles 3,Saddles,,Components,3521.98,11,10.76
